Bug - ID Global,Equipo Reporta,Bug - ID Equipo,Titulo Story,Sprint detectado,Severidad,Prioridad,Titulo Bug,Descripción Bug,STR,Tipo de bug,Navegador utilizado,Evidencia adicional,Estado,Fecha de Descubrimiento,Fecha de corrección,Versión de Release
BUG-001,QA-6,BUG-001,US-01: Login del Docente con credenciales propias,2,Crítico,P2,login - mensaje de error revela la inexistencia de usuario,"Al ingresar un mail no registrado en la plataforma, el sistema muestra un mensaje que expone que el usuario no existe. Esto viola el criterio de aceptación especificado en el documento ""Historia de usuario Examia"" donde la US-01 indica que ""El sistema no debe revelar cuál de los campos ingresados es incorrecto"".","1. Ir a la pantalla de Login 
2. Ingresar un mail no registrado (hola@uade.edu.ar)
3. Ingresar cualquier contraseña (asd)
4. Presionar 'Ingresar'",Seguridad,firefox 151.0.1 (64-bit),<link a imagen>,Nuevo,25/05/2026,-,Version 1.3.0
BUG-002,QA-2,BUG-001,US-03: Login del Alumno con credenciales propias,2,Alto,P1,Login carece de rate limiting / protección contra fuerza bruta,"El endpoint POST /api/auth/login acepta intentos ilimitados de login con passwords incorrectos contra el mismo usuario, sin bloquear la cuenta ni responder HTTP 429. Esto habilita ataques de fuerza bruta sobre cualquier usuario conocido. Tampoco hay limitación a nivel IP.","1. Tomar un email válido del sistema (ej: alumno@uade.edu.ar).
2. Ejecutar 20 requests POST a /api/auth/login con ese email y password incorrecto, sin esperar entre requests.
3. Observar el status code de cada response.",Seguridad,N/A — test ejecutado vía pytest + requests contra API,evidencia/BUG-001_rate_limiting.txt,Nuevo,25/05/2026,-,Version 1.3.0
BUG-003,QA-2,BUG-003,Login de Usuario - Cierre de Sesión,2,Alto,P1,Logout no invalida el JWT en el servidor,"El logout implementado en el frontend solo limpia localStorage (authToken y user). El backend no expone un endpoint /api/auth/logout ni mantiene una blacklist de tokens. Como consecuencia, un JWT emitido sigue siendo válido hasta su expiración natural (24h por defecto) aunque el usuario haya hecho 'cerrar sesión'. Si el token fue interceptado o copiado, el atacante puede seguir usándolo después del logout.","1. Loguearse normalmente y copiar el authToken de localStorage.
2. Verificar que el token funciona contra un endpoint protegido (GET /api/exams).
3. Hacer click en 'Cerrar sesión' en la UI (o intentar POST /api/auth/logout con el token, no existe el endpoint).
4. Reusar el MISMO token contra GET /api/exams.
5. Observar que el token sigue dando acceso (200) en lugar de ser rechazado (401).",Seguridad,N/A — test ejecutado vía pytest + requests contra API,evidencia/BUG-003_logout_server_side.txt,Nuevo,25/05/2026,-,Version 1.3.0
BUG-004,QA-7,BUG-002,US-03: Login del Alumno con credenciales propias,2,Crítico,P1,Block - acceso UADE válido denegado,"Se siguieron los pasos descritos en la user story de la funcionalidad y aún colocando los datos correctos del excel de acceso, el mismo fue denegado mostrando un mensaje de error de inicio de sesión con UADE.","01: Ingresar al link de acceso para la plataforma en el navegador.
 02: Hacer click en “Ingresar con usuario UADE”.
 03: Colocar las credenciales y número de legajo el usuario con rol docente que se encuentra en la lista de usuarios existentes en la lista enviada por el equipo.
 04: Accionar el botón “ingresar”.",Funcional,No informado,Link a las imágenes,Nuevo,25/05/2026,-,Version 1.3.0
BUG-005,QA-7,BUG-003,US-04: Login del Alumno con usuario UADE,2,Crítico,P1,Block - credenciales correctas con legajo incorrecto muestran error no específico,"Se siguieron los pasos descritos en la user story de la funcionalidad, se colocaron credenciales incorrectas según el excel de acceso, el mismo fue denegado mostrando un mensaje de error sobre el inicio de sesión, no sobre las credenciales.","01: Ingresar al link de acceso para la plataforma en el navegador.
02: Hacer click en “Ingresar con usuario UADE”.
03: Colocar las credenciales de usuario y contraseña de forma correcta y colocar mal el número de legajo del usuario con rol docente.
04: Accionar el botón “ingresar”.",Funcional,No informado,Link a las imágenes,Nuevo,25/05/2026,-,Version 1.3.0
BUG-006,QA-7,BUG-005,US-06: Recuperación de contraseña — Envío del código,2,Crítico,P1,Block - recuperación de contraseña abre pantalla vacía,"No se pudo recuperar la contraseña con el botón '¿Olvidaste tu contraseña?', se genera una pantalla sin nada.","01: En el login, hacer click sobre “¿Olvidaste tu contraseña?”.
",Funcional,No informado,Link a las imágenes,Nuevo,25/05/2026,-,Version 1.3.0
BUG-007,QA-7,BUG-010,US-09: Registro de nuevo usuario,2,Medio,P3,Improvement - términos y condiciones sin link de lectura,"En la sección para aceptar términos y condiciones, no incluye ningún link que redireccione a leer los mismos, por lo tanto el usuario no sabe qué está aceptando.",01: Hacer click sobre ‘crear cuenta’ dentro del login para la creación de cuentas.,UI/UX,No informado,Link a las imágenes,Nuevo,25/05/2026,-,Version 1.3.0
BUG-008,QA-7,BUG-011,US-09: Registro de nuevo usuario,2,Alto,P1,Improvement - selección de rol sin requisitos visibles,"En la sección para seleccionar si el rol de la cuenta a crear es docente o alumno, no hay diferenciaciones visibles sobre requisitos para hacerlo; a primera vista es posible intentar crear una cuenta docente siendo alumno.",01: Hacer click sobre ‘docente’ dentro del login para la creación de usuarios cuando se selecciona un ROL.,UI/UX,No informado,Link a las imágenes,Nuevo,25/05/2026,-,Version 1.3.0
BUG-009,QA-7,BUG-012,US-09: Registro de nuevo usuario,2,Crítico,P1,Block - no permite creación de cuenta docente o alumno,"El sistema no ha permitido la creación de una nueva cuenta, como rol DOCENTE o ALUMNO.","01: Hacer click sobre ‘crear cuenta’ dentro del login para la creación de cuentas.
02: Llenar los campos solicitados según las especificaciones.
03: Crear el usuario haciendo click en 'crear cuenta'.",Funcional,No informado,Link a las imágenes,Nuevo,25/05/2026,-,Version 1.3.0
BUG-010,QA-7,BUG-013,US-11: Visualización del Dashboard de Mis Cursos,2,Alto,P2,Improvement - columna Estado de examen muestra guión,"El sistema no muestra en detalle el estado del examen (borrador, publicado, activo), sino que muestra un guión.","01: Hacer login con una cuenta de docente válida.
02: Ingresar al menú de exámenes.
03: Observar la columna de Estado.",Datos,No informado,Link a las imágenes,Nuevo,25/05/2026,-,Version 1.3.0
